"week_end","geography","label","buildnumber"
"2026-06-06T00:00:00.000","Alabama","Very Low","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","Alaska","Very Low","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","American Samoa","Data Unavailable","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","Arizona","Very Low","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","Arkansas","Very Low","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","California","Very Low","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","Colorado","Very Low","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","Connecticut","Very Low","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","Delaware","Very Low","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","District of Columbia","Very Low","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","Florida","Very Low","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","Georgia","Very Low","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","Guam","Data Unavailable","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","Hawaii","Very Low","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","Idaho","Very Low","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","Illinois","Very Low","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","Indiana","Very Low","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","Iowa","Data Unavailable","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","Kansas","Very Low","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","Kentucky","Very Low","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","Louisiana","Very Low","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","Maine","Very Low","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","Maryland","Very Low","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","Massachusetts","Very Low","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","Michigan","Very Low","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","Minnesota","Very Low","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","Mississippi","Very Low","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","Missouri","Very Low","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","Montana","Very Low","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","Nebraska","Very Low","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","Nevada","Very Low","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","New Hampshire","Very Low","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","New Jersey","Very Low","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","New Mexico","Very Low","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","New York","Very Low","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","North Carolina","Very Low","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","North Dakota","Very Low","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","Northern Mariana Islands","Data Unavailable","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","Ohio","Very Low","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","Oklahoma","Very Low","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","Oregon","Very Low","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","Pennsylvania","Very Low","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","Puerto Rico","Data Unavailable","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","Rhode Island","Very Low","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","South Carolina","Very Low","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","South Dakota","Low","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","Tennessee","Very Low","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","Texas","Very Low","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","Utah","Very Low","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","Vermont","Very Low","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","Virgin Islands","Data Unavailable","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","Virginia","Very Low","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","Washington","Very Low","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","West Virginia","Very Low","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","Wisconsin","Very Low","2026-06-12 16:01:30.477844"
"2026-06-06T00:00:00.000","Wyoming","Very Low","2026-06-12 16:01:30.477844"
